id	EC_number	hier1	hier2	hier3	name	comment	alter_name
0	4.2.1.10	Lyases.	Carbon-oxygen lyases.	Hydro-lyases.	3-dehydroquinate dehydratase.		
1	6.5.1.1	Ligases.	Forming phosphoric ester bonds.	Forming phosphoric ester bonds.	DNA ligase (ATP).	The enzyme catalyzes the ligation of DNA strands with 3'-hydroxyl and 5'-phosphate termini, forming a phosphodiester and sealing certain types of single-strand breaks in duplex DNA. Catalysis occurs by a three-step mechanism, starting with the activation of the enzyme by ATP, forming a phosphoramide bond between adenylate and a lysine residue. The adenylate group is then transferred to the 5'-phosphate terminus of the substrate, forming the capped structure 5'-(5'-diphosphoadenosine)-[DNA]. Finally, the enzyme catalyzes a nucleophilic attack of the 3'-OH terminus on the capped terminus, which results in formation of the phosphodiester bond and release of the adenylate. RNA can also act as substrate, to some extent. Cf. EC 6.5.1.2, EC 6.5.1.6 and EC 6.5.1.7.	DNA joinase. DNA repair enzyme. polydeoxyribonucleotide synthase (ATP). polynucleotide ligase (ATP). sealase.
2	4.2.3.1	Lyases.	Carbon-oxygen lyases.	Acting on phosphates.	threonine synthase.	Formerly EC 4.2.99.2.	
3	2.7.7.48	Transferases.	Transferring phosphorus-containing groups.	Nucleotidyltransferases.	RNA-directed RNA polymerase.	Catalyzes RNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time. Can initiate a chain de novo. See also EC 2.7.7.6.	RNA nucleotidyltransferase (RNA-directed).
4	3.1.3.25	Hydrolases.	Acting on ester bonds.	Phosphoric monoester hydrolases.	inositol-phosphate phosphatase.	Acts on five of the six isomers of myo-inositol phosphate, all except myo-inositol 2-phosphate, but does not act on myo-inositol bearing more than one phosphate group. It also acts on adenosine 2'-phosphate (but not the 3'- or 5'-phosphates), sn-glycerol 3-phosphate and glycerol 2-phosphate, but does not act on inositol bisphosphates or more phosphorylated inositols.	inositol-1(or 4)-monophosphatase. inositol 1-phosphatase. inositol monophosphate phosphatase. inositol phosphatase. L-myo-inositol-1-phosphate phosphatase. myo-inositol-1(or 4)-monophosphatase. myo-inositol-1(or 4)-phosphate phosphohydrolase. myo-inositol 1-phosphatase. myo-inositol-1-phosphatase. myo-inositol monophosphatase.
5	3.1.21.4	Hydrolases.	Acting on ester bonds.	Endodeoxyribonucleases producing 5'-phosphomonoesters.	type II site-specific deoxyribonuclease.	Large group of enzymes which recognize specific short DNA sequences and cleave either within, or at a short specific distance from, the recognition site. See the REBASE database for a complete list of these enzymes: http://rebase.neb.com/rebase/ Formerly EC 3.1.23.1, EC 3.1.23.2, EC 3.1.23.3, EC 3.1.23.4, EC 3.1.23.5, EC 3.1.23.6, EC 3.1.23.7, EC 3.1.23.8, EC 3.1.23.9, EC 3.1.23.10, EC 3.1.23.11, EC 3.1.23.12, EC 3.1.23.13, EC 3.1.23.14, EC 3.1.23.15, EC 3.1.23.16, EC 3.1.23.17, EC 3.1.23.18, EC 3.1.23.19, EC 3.1.23.20, EC 3.1.23.21, EC 3.1.23.22, EC 3.1.23.23, EC 3.1.23.24, EC 3.1.23.25, EC 3.1.23.26, EC 3.1.23.27, EC 3.1.23.28, EC 3.1.23.29, EC 3.1.23.30, EC 3.1.23.31, EC 3.1.23.32, EC 3.1.23.33, EC 3.1.23.34, EC 3.1.23.35, EC 3.1.23.36, EC 3.1.23.37, EC 3.1.23.38, EC 3.1.23.39, EC 3.1.23.40, EC 3.1.23.41, EC 3.1.23.42, EC 3.1.23.43, EC 3.1.23.44, EC 3.1.23.45, EC 3.1.23.46, EC 3.1.23.47, EC 3.1.23.48, EC 3.1.23.49, EC 3.1.23.50, EC 3.1.23.51, EC 3.1.23.52, EC 3.1.23.53, EC 3.1.23.54, EC 3.1.23.55, EC 3.1.23.56, EC 3.1.23.57, EC 3.1.23.58 and EC 3.1.23.59.	type II restriction enzyme.
6	3.2.1.23	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	beta-galactosidase.	Some enzymes in this group hydrolyze alpha-L-arabinosides; some animal enzymes also hydrolyze beta-D-fucosides and beta-D-glucosides (cf. EC 3.2.1.108).	exo-(1->4)-beta-D-galactanase. lactase.
7	6.3.5.3	Ligases.	Forming carbon-nitrogen bonds.	Carbon--nitrogen ligases with glutamine as amido-N-donor.	phosphoribosylformylglycinamidine synthase.		FGAM synthase. FGAM synthetase. FGAR amidotransferase. FGARAT. formylglycinamide ribotide amidotransferase. phosphoribosylformylglycinamidine synthetase.
8	4.2.1.20	Lyases.	Carbon-oxygen lyases.	Hydro-lyases.	tryptophan synthase.	The alpha-subunit catalyzes the conversion of 1-C-(indol-3- yl)glycerol 3-phosphate to indole and D-glyceraldehyde 3-phosphate (this reaction was listed formerly as EC 4.1.2.8). The indole migrates to the beta-subunit where, in the presence of pyridoxal 5'-phosphate, it is combined with L-serine to form L-tryptophan. In some organisms this enzyme is part of a multifunctional protein that also includes one or more of the enzymes EC 2.4.2.18, EC 4.1.1.48, EC 4.1.3.27 and EC 5.3.1.24. In thermophilic organisms, where the high temperature enhances diffusion and causes the loss of indole, a protein similar to the beta subunit can be found (EC 4.2.1.122). That enzyme cannot combine with the alpha unit of EC 4.2.1.20 to form a complex.	indoleglycerol phosphate aldolase. L-tryptophan synthetase. tryptophan desmolase. tryptophan synthetase.
9	3.4.11.18	Hydrolases.	Acting on peptide bonds (peptidases).	Aminopeptidases.	methionyl aminopeptidase.	This membrane-bound enzyme, which is present in both prokaryotes and eukaryotes, releases the initiator methionine from nascent peptides. The activity is dependent on the identity of the second, third and fourth amino acid residues of the target protein, but in general the enzyme acts only when the penultimate residue is small and uncharged (e.g. Gly, Ala, Cys, Ser, Thr, and Val). Belongs to peptidase family M24A.	methionine aminopeptidase. peptidase M.
10	6.3.4.18	Ligases.	Forming carbon-nitrogen bonds.	Other carbon--nitrogen ligases.	5-(carboxyamino)imidazole ribonucleotide synthase.	In Escherichia coli, this enzyme, along with EC 5.4.99.18, is required to carry out the single reaction catalyzed by EC 4.1.1.21 in vertebrates. Carboxyphosphate is the putative acyl phosphate intermediate. Involved in the late stages of purine biosynthesis.	N(5)-CAIR synthetase. N(5)-carboxyaminoimidazole ribonucleotide synthetase.
11	3.1.22.4	Hydrolases.	Acting on ester bonds.	Endodeoxyribonucleases producing other than 5'-phosphomonoesters.	Transferred entry: 3.1.21.10.		
12	2.3.1.87	Transferases.	Acyltransferases.	Transferring groups other than amino-acyl groups.	aralkylamine N-acetyltransferase.	Narrow specificity toward 2-arylethylamines, including serotonin (5-hydroxytryptamine), tryptamine, 5-methoxytryptamine and phenylethylamine. This is the penultimate enzyme in the production of melatonin (5-methoxy-N-acetyltryptamine) and controls its synthesis (cf. EC 2.1.1.4). Differs from EC 2.3.1.5.	AANAT. arylalkylamine N-acetyltransferase. melatonin rhythm enzyme. serotonin acetylase. serotonin acetyltransferase. serotonin N-acetyltransferase.
13	2.7.7.3	Transferases.	Transferring phosphorus-containing groups.	Nucleotidyltransferases.	pantetheine-phosphate adenylyltransferase.	The enzyme from several bacteria (e.g. Escherichia coli, Bacillus subtilis and Haemophilus influenzae) has been shown to be bifunctional and also to possess the activity of EC 2.3.1.157.	3'-dephospho-CoA pyrophosphorylase. dephospho-CoA diphosphorylase. dephospho-CoA pyrophosphorylase. dephospho-coenzyme A pyrophosphorylase. phosphopantetheine adenylyltransferase. PPAT.
14	3.2.1.4	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	cellulase.	Will also hydrolyze 1,4-linkages in beta-D-glucans also containing 1,3-linkages.	avicelase. beta-1,4-endoglucan hydrolase. beta-1,4-glucanase. carboxymethyl cellulase. celludextrinase. endo-1,4-beta-D-glucanase. endo-1,4-beta-D-glucanohydrolase. endo-1,4-beta-glucanase. endoglucanase.
15	2.7.1.2	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with an alcohol group as acceptor.	glucokinase.	A group of enzymes found in invertebrates and microorganisms highly specific for glucose.	glucose kinase.
16	3.1.2.2	Hydrolases.	Acting on ester bonds.	Thiolester hydrolases.	palmitoyl-CoA hydrolase.	Also hydrolyzes CoA thioesters of other long-chain fatty acids.	long-chain fatty-acyl-CoA hydrolase.
17	7.1.2.2	Translocases.	Catalysing the translocation of hydrons.	Hydron translocation linked to the hydrolysis of a nucleoside triphosphate.	H(+)-transporting two-sector ATPase.	A multisubunit non-phosphorylated ATPase that is involved in the transport of ions. Large enzymes of mitochondria, chloroplasts and bacteria with a membrane sector (Fo, Vo, Ao) and a cytoplasmic-compartment sector (F1, V1, A1). The F-type enzymes of the inner mitochondrial and thylakoid membranes act as ATP synthases. All of the enzymes included here operate in a rotational mode, where the extramembrane sector (containing 3 alpha- and 3 beta-subunits) is connected via the delta-subunit to the membrane sector by several smaller subunits. Within this complex, the gamma- and epsilon-subunits, as well as the 9-12 c subunits rotate by consecutive 120 degree angles and perform parts of ATP synthesis. This movement is driven by the H(+) electrochemical potential gradient. The V-type (in vacuoles and clathrin-coated vesicles) and A-type (archaeal) enzymes have a similar structure but, under physiological conditions, they pump H(+) rather than synthesize ATP. Formerly EC 3.6.1.34 and EC 3.6.3.14.	ATP synthase. chloroplast ATPase. F0F1-ATPase. F1-ATPase. FoF1-ATPase. H(+)-transporting ATPase. H(+)-transporting ATP synthase. mitochondrial ATPase.
18	2.7.11.12	Transferases.	Transferring phosphorus-containing groups.	Protein-serine/threonine kinases.	cGMP-dependent protein kinase.	cGMP is required to activate this enzyme. The enzyme occurs as a dimer in higher eukaryotes. The C-terminal region of each polypeptide chain contains the catalytic domain that includes the ATP and protein substrate binding sites. This domain catalyzes the phosphorylation by ATP to specific serine or threonine residues in protein substrates. The enzyme also has two allosteric cGMP-binding sites (sites A and B). Binding of cGMP causes a conformational change that is associated with activation of the kinase. Formerly EC 2.7.1.37.	3':5'-cyclic GMP-dependent protein kinase. cGMP-dependent protein kinase Ibeta. guanosine 3':5'-cyclic monophosphate-dependent protein kinase. PKG. PKG 1alpha. PKG 1beta. PKG II.
19	3.2.1.3	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	glucan 1,4-alpha-glucosidase.	Most forms of the enzyme can rapidly hydrolyze 1,6-alpha-D-glucosidic bonds when the next bond in the sequence is 1,4, and some preparations of this enzyme hydrolyze 1,6- and 1,3-alpha-D-glucosidic bonds in other polysaccharides. This entry covers all such enzymes acting on polysaccharides more rapidly than on oligosaccharides. EC 3.2.1.20 from mammalian intestine can catalyze similar reactions.	4-alpha-D-glucan glucohydrolase. amyloglucosidase. exo-1,4-alpha-glucosidase. gamma-amylase. glucoamylase. lysosomal alpha-glucosidase.
20	1.14.14.18	Oxidoreductases.	Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.	With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen.	heme oxygenase (biliverdin-producing).	This mammalian enzyme participates in the degradation of heme. The terminal oxygen atoms that are incorporated into the carbonyl groups of pyrrole rings A and B of biliverdin are derived from two separate oxygen molecules. The third oxygen molecule provides the oxygen atom that converts the alpha-carbon to CO. The enzyme requires NAD(P)H and EC 1.6.2.4. Cf. EC 1.14.15.20. Formerly EC 1.14.99.3.	heme oxidase. heme oxygenase. heme oxygenase (decyclizing).
21	4.1.1.20	Lyases.	Carbon-carbon lyases.	Carboxy-lyases.	diaminopimelate decarboxylase.		DAP decarboxylase. meso-2,6-diaminoheptanedioate carboxy-lyase.
22	2.8.1.12	Transferases.	Transferring sulfur-containing groups.	Sulfurtransferases.	molybdopterin synthase.	Catalyzes the synthesis of molybdopterin from cyclic pyranopterin phosphate. Two sulfur atoms are transferred to cyclic pyranopterin phosphate in order to form the characteristic ene-dithiol group found in the molybdenum cofactor. Molybdopterin synthase consists of two large subunits forming a central dimer and two small subunits (molybdopterin-synthase sulfur- carrier proteins) that are thiocarboxylated at the C-terminus by EC 2.8.1.11, molybdopterin synthase sulfurtransferase. The reaction occurs in prokaryotes and eukaryotes.	MPT synthase.
23	3.5.2.6	Hydrolases.	Acting on carbon-nitrogen bonds, other than peptide bonds.	In cyclic amides.	beta-lactamase.	Zinc is only requires in class-B enzymes. A group of enzymes of varying specificity hydrolyzing beta-lactams; some act more rapidly on penicillins, some more rapidly on cephalosporins. Formerly EC 3.5.2.8.	cephalosporinase. penicillinase.
24	4.6.1.2	Lyases.	Phosphorus-oxygen lyases.	Phosphorus-oxygen lyases.	guanylate cyclase.	Also acts on ITP and dGTP.	guanyl cyclase. guanylyl cyclase.
25	6.1.1.3	Ligases.	Forming carbon-oxygen bonds.	Ligases forming aminoacyl-tRNA and related compounds.	threonine--tRNA ligase.		threonine translase. threonyl-tRNA synthetase.
26	1.14.16.1	Oxidoreductases.	Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.	With reduced pteridine as one donor, and incorporation of one atom of oxygen.	phenylalanine 4-monooxygenase.	The reaction involves an arene oxide which rearranges to give the phenolic hydroxy group. This results in the hydrogen at C-4 migrating to C-3 and in part being retained, a process known as the NIH-shift. The 4a-hydroxytetrahydrobiopterin formed can dehydrate to 6,7- dihydrobiopterin, both spontaneously and by the action of EC 4.2.1.96. The 6,7-dihydrobiopterin can be enzymically reduced back to tetrahydrobiopterin, by EC 1.5.1.34, or slowly rearranges into the more stable compound 7,8-dihydrobiopterin. Formerly EC 1.14.3.1 and EC 1.99.1.2.	PAH. phenylalaninase. phenylalanine 4-hydroxylase. phenylalanine hydroxylase.
27	2.1.1.220	Transferases.	Transferring one-carbon groups.	Methyltransferases.	tRNA (adenine(58)-N(1))-methyltransferase.	The enzyme specifically methylates adenine(58) in tRNA. The methylation of A(58) is critical for maintaining the stability of initiator tRNA(Met) in yeast. Formerly EC 2.1.1.36.	tRNA (m(1)A(58)) methyltransferase. tRNA m(1)A(58) methyltransferase.
28	2.7.7.60	Transferases.	Transferring phosphorus-containing groups.	Nucleotidyltransferases.	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase.	ATP or UTP can replace CTP, but both are less effective. GTP and TTP are not substrates. Forms part of an alternative nonmevalonate pathway for terpenoid biosynthesis.	4-diphosphocytidyl-2-C-methyl-D-erythritol synthase. MCT. MEP cytidylyltransferase.
29	3.4.21.92	Hydrolases.	Acting on peptide bonds (peptidases).	Serine endopeptidases.	endopeptidase Clp.	Belongs to peptidase family S14.	caseinolytic protease. endopeptidase Ti. protease Ti.
30	1.1.1.100	Oxidoreductases.	Acting on the CH-OH group of donors.	With NAD(+) or NADP(+) as acceptor.	3-oxoacyl-[acyl-carrier-protein] reductase.	Exhibits a marked preference for [acyl-carrier-protein] derivatives over CoA derivatives as substrates.	
31	4.2.1.84	Lyases.	Carbon-oxygen lyases.	Hydro-lyases.	nitrile hydratase.	Acts on short-chain aliphatic nitriles, converting them into the corresponding acid amides. Does not act on these amides or on aromatic nitriles (cf. EC 3.5.5.1).	nitrilase. nitrile hydro-lyase.
32	2.8.1.7	Transferases.	Transferring sulfur-containing groups.	Sulfurtransferases.	cysteine desulfurase.	The sulfur from free L-cysteine is first transferred to a cysteine residue in the active site, and then passed on to various other acceptors. The enzyme is involved in the biosynthesis of iron-sulfur clusters, thio-nucleosides in tRNA, thiamine, biotin, lipoate and pyranopterin (molybdopterin). In Azotobacter vinelandii, this sulfur provides the inorganic sulfide required for nitrogenous metallocluster formation.	cysteine desulfurylase.
33	5.6.1.1	Isomerases.	Isomerases altering macromolecular conformation.	Enzymes altering polypeptide conformation or assembly.	microtubule-severing ATPase.	A member of the AAA-ATPase family, active in splitting microtubules into tubulin dimers in the centrosome. Formerly EC 3.6.4.3.	katanin.
