id	name
0	A 3-dehydroquinate dehydratase. enzyme.
1	A DNA ligase (ATP). enzyme. This enzyme is also known as DNA joinase. DNA repair enzyme. polydeoxyribonucleotide synthase (ATP). polynucleotide ligase (ATP). sealase.
2	A threonine synthase. enzyme.
3	A RNA-directed RNA polymerase. enzyme. This enzyme is also known as RNA nucleotidyltransferase (RNA-directed).
4	A inositol-phosphate phosphatase. enzyme. This enzyme is also known as inositol-1(or 4)-monophosphatase. inositol 1-phosphatase. inositol monophosphate phosphatase. inositol phosphatase. L-myo-inositol-1-phosphate phosphatase. myo-inositol-1(or 4)-monophosphatase. myo-inositol-1(or 4)-phosphate phosphohydrolase. myo-inositol 1-phosphatase. myo-inositol-1-phosphatase. myo-inositol monophosphatase.
5	A type II site-specific deoxyribonuclease. enzyme. This enzyme is also known as type II restriction enzyme.
6	A beta-galactosidase. enzyme. This enzyme is also known as exo-(1->4)-beta-D-galactanase. lactase.
7	A phosphoribosylformylglycinamidine synthase. enzyme. This enzyme is also known as FGAM synthase. FGAM synthetase. FGAR amidotransferase. FGARAT. formylglycinamide ribotide amidotransferase. phosphoribosylformylglycinamidine synthetase.
8	A tryptophan synthase. enzyme. This enzyme is also known as indoleglycerol phosphate aldolase. L-tryptophan synthetase. tryptophan desmolase. tryptophan synthetase.
9	A methionyl aminopeptidase. enzyme. This enzyme is also known as methionine aminopeptidase. peptidase M.
10	A 5-(carboxyamino)imidazole ribonucleotide synthase. enzyme. This enzyme is also known as N(5)-CAIR synthetase. N(5)-carboxyaminoimidazole ribonucleotide synthetase.
11	A Transferred entry: 3.1.21.10. enzyme.
12	A aralkylamine N-acetyltransferase. enzyme. This enzyme is also known as AANAT. arylalkylamine N-acetyltransferase. melatonin rhythm enzyme. serotonin acetylase. serotonin acetyltransferase. serotonin N-acetyltransferase.
13	A pantetheine-phosphate adenylyltransferase. enzyme. This enzyme is also known as 3'-dephospho-CoA pyrophosphorylase. dephospho-CoA diphosphorylase. dephospho-CoA pyrophosphorylase. dephospho-coenzyme A pyrophosphorylase. phosphopantetheine adenylyltransferase. PPAT.
