id	name	description
0	FUNCTION: 3-dehydroquinate dehydratase. 	FUNCTION: 3-dehydroquinate dehydratase.  
1	FUNCTION: DNA ligase (ATP). DNA joinase. DNA repair enzyme. polydeoxyribonucleotide synthase (ATP). polynucleotide ligase (ATP). sealase.	FUNCTION: DNA ligase (ATP). DNA joinase. DNA repair enzyme. polydeoxyribonucleotide synthase (ATP). polynucleotide ligase (ATP). sealase. The enzyme catalyzes the ligation of DNA strands with 3'-hydroxyl and 5'-phosphate termini, forming a phosphodiester and sealing certain types of single-strand breaks in duplex DNA. Catalysis occurs by a three-step mechanism, starting with the activation of the enzyme by ATP, forming a phosphoramide bond between adenylate and a lysine residue. The adenylate group is then transferred to the 5'-phosphate terminus of the substrate, forming the capped structure 5'-(5'-diphosphoadenosine)-[DNA]. Finally, the enzyme catalyzes a nucleophilic attack of the 3'-OH terminus on the capped terminus, which results in formation of the phosphodiester bond and release of the adenylate. RNA can also act as substrate, to some extent. Cf. EC 6.5.1.2, EC 6.5.1.6 and EC 6.5.1.7.
2	FUNCTION: threonine synthase. 	FUNCTION: threonine synthase.  Formerly EC 4.2.99.2.
3	FUNCTION: RNA-directed RNA polymerase. RNA nucleotidyltransferase (RNA-directed).	FUNCTION: RNA-directed RNA polymerase. RNA nucleotidyltransferase (RNA-directed). Catalyzes RNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time. Can initiate a chain de novo. See also EC 2.7.7.6.
4	FUNCTION: inositol-phosphate phosphatase. inositol-1(or 4)-monophosphatase. inositol 1-phosphatase. inositol monophosphate phosphatase. inositol phosphatase. L-myo-inositol-1-phosphate phosphatase. myo-inositol-1(or 4)-monophosphatase. myo-inositol-1(or 4)-phosphate phosphohydrolase. myo-inositol 1-phosphatase. myo-inositol-1-phosphatase. myo-inositol monophosphatase.	FUNCTION: inositol-phosphate phosphatase. inositol-1(or 4)-monophosphatase. inositol 1-phosphatase. inositol monophosphate phosphatase. inositol phosphatase. L-myo-inositol-1-phosphate phosphatase. myo-inositol-1(or 4)-monophosphatase. myo-inositol-1(or 4)-phosphate phosphohydrolase. myo-inositol 1-phosphatase. myo-inositol-1-phosphatase. myo-inositol monophosphatase. Acts on five of the six isomers of myo-inositol phosphate, all except myo-inositol 2-phosphate, but does not act on myo-inositol bearing more than one phosphate group. It also acts on adenosine 2'-phosphate (but not the 3'- or 5'-phosphates), sn-glycerol 3-phosphate and glycerol 2-phosphate, but does not act on inositol bisphosphates or more phosphorylated inositols.
5	FUNCTION: type II site-specific deoxyribonuclease. type II restriction enzyme.	FUNCTION: type II site-specific deoxyribonuclease. type II restriction enzyme. Large group of enzymes which recognize specific short DNA sequences and cleave either within, or at a short specific distance from, the recognition site. See the REBASE database for a complete list of these enzymes: http://rebase.neb.com/rebase/ Formerly EC 3.1.23.1, EC 3.1.23.2, EC 3.1.23.3, EC 3.1.23.4, EC 3.1.23.5, EC 3.1.23.6, EC 3.1.23.7, EC 3.1.23.8, EC 3.1.23.9, EC 3.1.23.10, EC 3.1.23.11, EC 3.1.23.12, EC 3.1.23.13, EC 3.1.23.14, EC 3.1.23.15, EC 3.1.23.16, EC 3.1.23.17, EC 3.1.23.18, EC 3.1.23.19, EC 3.1.23.20, EC 3.1.23.21, EC 3.1.23.22, EC 3.1.23.23, EC 3.1.23.24, EC 3.1.23.25, EC 3.1.23.26, EC 3.1.23.27, EC 3.1.23.28, EC 3.1.23.29, EC 3.1.23.30, EC 3.1.23.31, EC 3.1.23.32, EC 3.1.23.33, EC 3.1.23.34, EC 3.1.23.35, EC 3.1.23.36, EC 3.1.23.37, EC 3.1.23.38, EC 3.1.23.39, EC 3.1.23.40, EC 3.1.23.41, EC 3.1.23.42, EC 3.1.23.43, EC 3.1.23.44, EC 3.1.23.45, EC 3.1.23.46, EC 3.1.23.47, EC 3.1.23.48, EC 3.1.23.49, EC 3.1.23.50, EC 3.1.23.51, EC 3.1.23.52, EC 3.1.23.53, EC 3.1.23.54, EC 3.1.23.55, EC 3.1.23.56, EC 3.1.23.57, EC 3.1.23.58 and EC 3.1.23.59.
6	FUNCTION: beta-galactosidase. exo-(1->4)-beta-D-galactanase. lactase.	FUNCTION: beta-galactosidase. exo-(1->4)-beta-D-galactanase. lactase. Some enzymes in this group hydrolyze alpha-L-arabinosides; some animal enzymes also hydrolyze beta-D-fucosides and beta-D-glucosides (cf. EC 3.2.1.108).
7	FUNCTION: phosphoribosylformylglycinamidine synthase. FGAM synthase. FGAM synthetase. FGAR amidotransferase. FGARAT. formylglycinamide ribotide amidotransferase. phosphoribosylformylglycinamidine synthetase.	FUNCTION: phosphoribosylformylglycinamidine synthase. FGAM synthase. FGAM synthetase. FGAR amidotransferase. FGARAT. formylglycinamide ribotide amidotransferase. phosphoribosylformylglycinamidine synthetase. 
8	FUNCTION: tryptophan synthase. indoleglycerol phosphate aldolase. L-tryptophan synthetase. tryptophan desmolase. tryptophan synthetase.	FUNCTION: tryptophan synthase. indoleglycerol phosphate aldolase. L-tryptophan synthetase. tryptophan desmolase. tryptophan synthetase. The alpha-subunit catalyzes the conversion of 1-C-(indol-3- yl)glycerol 3-phosphate to indole and D-glyceraldehyde 3-phosphate (this reaction was listed formerly as EC 4.1.2.8). The indole migrates to the beta-subunit where, in the presence of pyridoxal 5'-phosphate, it is combined with L-serine to form L-tryptophan. In some organisms this enzyme is part of a multifunctional protein that also includes one or more of the enzymes EC 2.4.2.18, EC 4.1.1.48, EC 4.1.3.27 and EC 5.3.1.24. In thermophilic organisms, where the high temperature enhances diffusion and causes the loss of indole, a protein similar to the beta subunit can be found (EC 4.2.1.122). That enzyme cannot combine with the alpha unit of EC 4.2.1.20 to form a complex.
9	FUNCTION: methionyl aminopeptidase. methionine aminopeptidase. peptidase M.	FUNCTION: methionyl aminopeptidase. methionine aminopeptidase. peptidase M. This membrane-bound enzyme, which is present in both prokaryotes and eukaryotes, releases the initiator methionine from nascent peptides. The activity is dependent on the identity of the second, third and fourth amino acid residues of the target protein, but in general the enzyme acts only when the penultimate residue is small and uncharged (e.g. Gly, Ala, Cys, Ser, Thr, and Val). Belongs to peptidase family M24A.
